Time	Oxygen	Wind_GEOMAR	Wind_Dir_GEOMAR
1536046605	-0.327469	-0.0295633	-0.602769
1536047137	-0.342979	0.0266479	-0.576114
1536047668	-0.326988	0.037397	-0.638938
1536048199	-0.302441	0.0375714	-0.645221
1536048731	-0.338932	0.118562	-0.581759
1536049262	-0.306857	0.221718	-0.563562
1536049793	-0.290286	0.206618	-0.58941
1536050325	-0.295863	0.151585	-0.666232
1536050856	-0.303337	0.154636	-0.626572
1536051388	-0.289613	0.146792	-0.538827
1536051919	-0.293672	0.137343	-0.560114
1536052450	-0.296636	0.150254	-0.622433
1536052982	-0.301873	0.0793698	-0.634507
1536053513	-0.33576	0.0994289	-0.61004
1536054044	-0.337146	0.12228	-0.596707
1536054576	-0.355662	0.150275	-0.61434
1536055107	-0.414651	0.117486	-0.616608
1536055638	-0.404039	0.092195	-0.60202
1536056170	-0.35803	0.121545	-0.683227
1536056701	-0.384546	0.182548	-0.76194
1536057232	-0.41456	0.187234	-0.760733
1536057764	-0.405156	0.195253	-0.736374
1536058295	-0.412965	0.174908	-0.7326
1536058826	-0.414844	0.196107	-0.684649
1536059358	-0.42424	0.171122	-0.667171
1536059889	-0.437349	0.155542	-0.665621
1536060420	-0.450211	0.198145	-0.592728
1536060952	-0.460175	0.164477	-0.569488
1536061483	-0.468565	0.126424	-0.666502
1536062015	-0.46376	0.197752	-0.67257
1536062546	-0.436342	0.161539	-0.6018
1536063077	-0.429577	0.18149	-0.671769
1536063609	-0.429546	0.170349	-0.679722
1536064140	-0.417737	0.105077	-0.674368
1536064671	-0.415605	0.173569	-0.770225
1536065203	-0.402017	0.191363	-0.775009
1536065734	-0.387908	0.191642	-0.727746
1536066265	-0.404461	0.179399	-0.733684
1536066797	-0.371594	0.182893	-0.715607
1536067328	-0.373393	0.213225	-0.776016
1536067859	-0.403073	0.269986	-0.752583
1536068391	-0.445191	0.280055	-0.735667
1536068922	-0.46859	0.264727	-0.725591
1536069453	-0.499475	0.263957	-0.727205
1536069985	-0.534847	0.252871	-0.744523
1536070516	-0.51614	0.217258	-0.741027
1536071047	-0.504142	0.17878	-0.673213
1536071579	-0.497337	0.138584	-0.714026
1536072110	-0.522836	0.184806	-0.755949
